net,length_um
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[4\],8.035µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data0_i\[5\],8.035µm
_10218_,8.03µm
_10292_,8.03µm
_00640_,8.025µm
_02387_,8.025µm
_06257_,8.025µm
_03962_,8.02µm
_05163_,8.02µm
_06087_,8.02µm
_06150_,8.02µm
_06898_,8.02µm
_07500_,8.02µm
_07551_,8.02µm
_07648_,8.02µm
_08428_,8.02µm
_08782_,8.02µm
_09811_,8.02µm
_10855_,8.02µm
_11600_,8.02µm
_11717_,8.02µm
_12184_,8.02µm
_12608_,8.02µm
_13360_,8.02µm
_13365_,8.02µm
_05222_,8.005µm
_03822_,8µm
_04690_,8µm
_04826_,8µm
_04863_,8µm
_05270_,8µm
_07053_,8µm
_07461_,8µm
_07915_,8µm
_09006_,8µm
_09442_,8µm
_09623_,8µm
_09654_,8µm
_10954_,8µm
_11848_,8µm
_15139_,8µm
_18040_,8µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[1\]\[2\],8µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[12\],8µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.r_idata_i\[0\]\[3\],8µm
_10078_,7.995µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[10\],7.995µm
_00154_,7.99µm
_00685_,7.99µm
_00965_,7.99µm
_01028_,7.99µm
_01171_,7.99µm
_01264_,7.99µm
_01334_,7.99µm
_01625_,7.99µm
_01909_,7.99µm
_04039_,7.99µm
_06236_,7.99µm
_09544_,7.99µm
_09636_,7.99µm
_13823_,7.99µm
_17423_,7.99µm
u_fft_core.u_buffer_parallel2serial.mem_im\[10\]\[2\],7.99µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.i_valid,7.99µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data1_i\[3\],7.99µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data1_i\[4\],7.99µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.o_data_0i\[4\],7.99µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.w_data_1r\[3\],7.99µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data1_r\[5\],7.99µm
u_fft_core.u_twiddle_interface.data0_re_2q\[4\],7.99µm
_03013_,7.985µm
_04902_,7.98µm
_05184_,7.98µm
_05979_,7.98µm
_07015_,7.98µm
_07904_,7.98µm
_08382_,7.98µm
_11002_,7.98µm
_11606_,7.98µm
_11872_,7.98µm
_12388_,7.98µm
_12907_,7.98µm
_14019_,7.98µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[1\],7.98µm
_00582_,7.975µm
_02019_,7.975µm
_03610_,7.975µm
_05563_,7.975µm
_07328_,7.975µm
_08315_,7.975µm
_08658_,7.975µm
_09476_,7.975µm
_10327_,7.975µm
_11714_,7.975µm
_12119_,7.975µm
_04965_,7.97µm
_08292_,7.965µm
_11391_,7.965µm
_17930_,7.965µm
_04935_,7.96µm
_17588_,7.96µm
_07919_,7.955µm
_02167_,7.95µm
_02402_,7.95µm
_03336_,7.95µm
_08527_,7.95µm
_17477_,7.95µm
_04311_,7.945µm
_08814_,7.945µm
_08815_,7.945µm
_14323_,7.945µm
_15043_,7.945µm
_00082_,7.94µm
_02158_,7.94µm
_02887_,7.94µm
_03122_,7.94µm
_03297_,7.94µm
_03776_,7.94µm
_04701_,7.94µm
_06211_,7.94µm
_06361_,7.94µm
_07514_,7.94µm
_07595_,7.94µm
_07959_,7.94µm
_10038_,7.94µm
_11213_,7.94µm
_11610_,7.94µm
_12943_,7.94µm
_13899_,7.94µm
_14316_,7.94µm
_14684_,7.94µm
_14856_,7.94µm
_17056_,7.94µm
_17607_,7.94µm
_17675_,7.94µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[0\],7.94µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.i_data_1i\[1\],7.94µm
_13523_,7.935µm
_00747_,7.93µm
_02766_,7.93µm
_03326_,7.93µm
_03420_,7.93µm
_03619_,7.93µm
_03751_,7.93µm
_03793_,7.93µm
_03847_,7.93µm
_04050_,7.93µm
_04329_,7.93µm
_04615_,7.93µm
_04657_,7.93µm
_04693_,7.93µm
_04829_,7.93µm
_07278_,7.93µm
_07452_,7.93µm
_08389_,7.93µm
_08567_,7.93µm
_08802_,7.93µm
_09450_,7.93µm
_09780_,7.93µm
_10396_,7.93µm
_10720_,7.93µm
_12781_,7.93µm
_12848_,7.93µm
_13295_,7.93µm
_13558_,7.93µm
_14312_,7.93µm
_15027_,7.93µm
_16039_,7.93µm
_16656_,7.93µm
_16664_,7.93µm
_16819_,7.93µm
_17712_,7.93µm
_17748_,7.93µm
_17869_,7.93µm
_17910_,7.93µm
net183,7.93µm
net188,7.93µm
net397,7.93µm
net416,7.93µm
net801,7.93µm
net1177,7.93µm
net1391,7.93µm
net1511,7.93µm
net1541,7.93µm
net1545,7.93µm
net1555,7.93µm
net1767,7.93µm
net2148,7.93µm
net2273,7.93µm
net2550,7.93µm
net2635,7.93µm
net2679,7.93µm
net4347,7.93µm
net4544,7.93µm
net4625,7.93µm
u_fft_core.fft4_data2_im\[1\],7.93µm
u_fft_core.u_buffer_parallel2serial.mem_im\[19\]\[4\],7.93µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[6\],7.93µm
u_fft_core.u_twiddle_interface.u_mult_2.u_clip.o_data_im\[4\],7.93µm
_05007_,7.925µm
_07129_,7.925µm
_00741_,7.92µm
_03203_,7.92µm
_04498_,7.92µm
_04872_,7.92µm
_05547_,7.92µm
_09941_,7.92µm
_10372_,7.92µm
_10702_,7.92µm
_10757_,7.92µm
_10786_,7.92µm
_12057_,7.92µm
_12140_,7.92µm
_14800_,7.92µm
_16583_,7.92µm
_17935_,7.92µm
_18067_,7.92µm
net1440,7.92µm
net4479,7.92µm
net4646,7.92µm
_03882_,7.915µm
_07647_,7.915µm
_09217_,7.915µm
_09566_,7.915µm
_10079_,7.915µm
_12178_,7.915µm
_00490_,7.905µm
_13382_,7.905µm
_03742_,7.895µm
_17445_,7.895µm
_17865_,7.89µm
_09313_,7.885µm
_03534_,7.88µm
_05780_,7.88µm
_07042_,7.88µm
_07837_,7.88µm
_07898_,7.88µm
_08655_,7.88µm
_09685_,7.88µm
_11159_,7.88µm
_12368_,7.88µm
_12533_,7.88µm
_12970_,7.88µm
_18157_,7.88µm
_00580_,7.87µm
_02364_,7.87µm
_04084_,7.87µm
_07341_,7.87µm
_07417_,7.87µm
_07980_,7.87µm
_12538_,7.87µm
_13384_,7.87µm
_13441_,7.87µm
_13665_,7.87µm
_16289_,7.87µm
_17030_,7.87µm
_17761_,7.87µm
_17843_,7.87µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[10\],7.87µm
_06438_,7.865µm
_13462_,7.865µm
_00341_,7.86µm
_00830_,7.86µm
_03620_,7.86µm
_03806_,7.86µm
_05702_,7.86µm
_06982_,7.86µm
_08266_,7.86µm
_12588_,7.86µm
_13000_,7.86µm
_13227_,7.86µm
_13415_,7.86µm
_16169_,7.86µm
_16653_,7.86µm
u_fft_core.u_buffer_parallel2serial.mem_im\[22\]\[4\],7.86µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[3\],7.86µm
u_fft_core.u_shift_r2_fft0.data_re_q\[16\],7.86µm
u_fft_core.u_shift_r4.data_im_q\[149\],7.86µm
u_fft_core.u_shift_r4.data_re_q\[139\],7.86µm
_02954_,7.855µm
_03567_,7.855µm
_08045_,7.855µm
_09888_,7.855µm
_00188_,7.845µm
_00333_,7.845µm
_01668_,7.845µm
_01678_,7.845µm
_13296_,7.845µm
_13919_,7.84µm
_17249_,7.84µm
_04503_,7.835µm
_02497_,7.83µm
_03778_,7.83µm
_04267_,7.83µm
_07699_,7.83µm
_08653_,7.83µm
_09091_,7.83µm
_10721_,7.83µm
net4432,7.83µm
_06772_,7.825µm
_09393_,7.825µm
_16717_,7.825µm
_17668_,7.825µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.valid_count\[1\],7.825µm
_03120_,7.82µm
_03285_,7.82µm
_04225_,7.82µm
_04250_,7.82µm
_05017_,7.82µm
_05156_,7.82µm
_05574_,7.82µm
_06516_,7.82µm
_06983_,7.82µm
_07074_,7.82µm
_07086_,7.82µm
_07482_,7.82µm
_07976_,7.82µm
_08591_,7.82µm
_08974_,7.82µm
_09462_,7.82µm
_09491_,7.82µm
_09529_,7.82µm
_09568_,7.82µm
_10404_,7.82µm
_10621_,7.82µm
_10767_,7.82µm
_12162_,7.82µm
_12864_,7.82µm
_16645_,7.82µm
_16866_,7.82µm
_17562_,7.82µm
_17980_,7.82µm
_18027_,7.82µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[3\],7.82µm
_09553_,7.815µm
_16666_,7.815µm
_02799_,7.81µm
_05357_,7.81µm
_07466_,7.81µm
_07662_,7.81µm
_09132_,7.81µm
_09415_,7.81µm
_09556_,7.81µm
_09620_,7.81µm
_09912_,7.81µm
_10582_,7.81µm
_11234_,7.81µm
_11878_,7.81µm
_11893_,7.81µm
_12046_,7.81µm
_15515_,7.81µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_i\[0\],7.81µm
_03139_,7.805µm
_00060_,7.8µm
_00178_,7.8µm
_00199_,7.8µm
_00214_,7.8µm
_00955_,7.8µm
_01054_,7.8µm
_01865_,7.8µm
_01893_,7.8µm
_01935_,7.8µm
_05379_,7.8µm
_05476_,7.8µm
_06015_,7.8µm
_08422_,7.8µm
_08487_,7.8µm
_11035_,7.8µm
_13713_,7.8µm
_16224_,7.8µm
_16860_,7.8µm
net349,7.8µm
net1329,7.8µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[0\]\[3\],7.8µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.i_data_1r\[3\],7.8µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.r_idata_r\[0\]\[9\],7.8µm
u_fft_core.u_shift_r4.data_im_q\[84\],7.8µm
_02762_,7.795µm
_17013_,7.795µm
_02292_,7.785µm
_11153_,7.785µm
_16389_,7.785µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.i_data_1i\[7\],7.785µm
_06910_,7.78µm
_12622_,7.775µm
_02617_,7.77µm
_04627_,7.76µm
_05316_,7.76µm
_08720_,7.76µm
_10044_,7.76µm
_11014_,7.76µm
_11518_,7.76µm
_00493_,7.75µm
_00506_,7.75µm
_01993_,7.75µm
_04916_,7.75µm
_05400_,7.75µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.flag\[0\],7.75µm
_01047_,7.74µm
_02923_,7.74µm
_02974_,7.74µm
_03239_,7.74µm
_03630_,7.74µm
_03940_,7.74µm
_04163_,7.74µm
_04499_,7.74µm
_04711_,7.74µm
_04938_,7.74µm
_05045_,7.74µm
_05089_,7.74µm
_05092_,7.74µm
_05157_,7.74µm
_05519_,7.74µm
_05562_,7.74µm
_05746_,7.74µm
_05890_,7.74µm
_06315_,7.74µm
_06693_,7.74µm
_07242_,7.74µm
_07556_,7.74µm
_09183_,7.74µm
_09247_,7.74µm
_09481_,7.74µm
_09536_,7.74µm
_09639_,7.74µm
_10717_,7.74µm
_10911_,7.74µm
_11079_,7.74µm
_12076_,7.74µm
_12090_,7.74µm
_12887_,7.74µm
_12964_,7.74µm
_13010_,7.74µm
_13422_,7.74µm
_13744_,7.74µm
_14284_,7.74µm
_15150_,7.74µm
_15308_,7.74µm
_15416_,7.74µm
_15503_,7.74µm
_17028_,7.74µm
_17288_,7.74µm
_17348_,7.74µm
_17353_,7.74µm
_17662_,7.74µm
u_fft_core.u_buffer_parallel2serial.mem_re\[17\]\[3\],7.74µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data1_r\[8\],7.74µm
_02481_,7.735µm
_08760_,7.725µm
_12691_,7.725µm
_12025_,7.72µm
_08570_,7.71µm
net2018,7.705µm
_00085_,7.69µm
_00670_,7.69µm
_01615_,7.69µm
_02505_,7.69µm
_04404_,7.69µm
_04506_,7.69µm
_05315_,7.69µm
_07580_,7.69µm
_07935_,7.69µm
_07966_,7.69µm
_08054_,7.69µm
_08592_,7.69µm
_09059_,7.69µm
_09662_,7.69µm
_11729_,7.69µm
_11752_,7.69µm
_12033_,7.69µm
_12390_,7.69µm
_13125_,7.69µm
_13618_,7.69µm
_15029_,7.69µm
_15172_,7.69µm
_15254_,7.69µm
_15724_,7.69µm
_16455_,7.69µm
_16586_,7.69µm
_16589_,7.69µm
_16961_,7.69µm
_17044_,7.69µm
_17110_,7.69µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.r_idata_r\[0\]\[6\],7.69µm
u_fft_core.u_shift_r4.data_im_q\[42\],7.69µm
u_fft_core.u_twiddle_interface.mult3_im\[4\],7.69µm
_11485_,7.685µm
net56,7.68µm
_00477_,7.68µm
_00501_,7.68µm
_01828_,7.68µm
_02045_,7.68µm
_02714_,7.68µm
_02869_,7.68µm
_03034_,7.68µm
_03165_,7.68µm
_03413_,7.68µm
_03469_,7.68µm
_03524_,7.68µm
_03600_,7.68µm
_03690_,7.68µm
_03712_,7.68µm
_04166_,7.68µm
_04391_,7.68µm
_04878_,7.68µm
_05029_,7.68µm
_05255_,7.68µm
_05309_,7.68µm
_05551_,7.68µm
_05712_,7.68µm
_06558_,7.68µm
_07198_,7.68µm
_07251_,7.68µm
_07279_,7.68µm
_07292_,7.68µm
_07457_,7.68µm
_07502_,7.68µm
_07560_,7.68µm
_08019_,7.68µm
_08133_,7.68µm
_08238_,7.68µm
_08240_,7.68µm
_08414_,7.68µm
_08624_,7.68µm
_09548_,7.68µm
_09563_,7.68µm
_09605_,7.68µm
_09649_,7.68µm
_09708_,7.68µm
_09807_,7.68µm
_09998_,7.68µm
_10710_,7.68µm
_11511_,7.68µm
_11513_,7.68µm
_11697_,7.68µm
_11936_,7.68µm
_12268_,7.68µm
_12286_,7.68µm
_12402_,7.68µm
_12499_,7.68µm
_12614_,7.68µm
_12779_,7.68µm
_12798_,7.68µm
_13213_,7.68µm
_13504_,7.68µm
_13754_,7.68µm
_14514_,7.68µm
_14702_,7.68µm
_14895_,7.68µm
_14934_,7.68µm
_14952_,7.68µm
_15060_,7.68µm
_15065_,7.68µm
_15141_,7.68µm
_15326_,7.68µm
_15348_,7.68µm
_15383_,7.68µm
_15601_,7.68µm
_16025_,7.68µm
_16071_,7.68µm
_16182_,7.68µm
_16375_,7.68µm
_16438_,7.68µm
_16462_,7.68µm
_16658_,7.68µm
_16813_,7.68µm
_17459_,7.68µm
_17648_,7.68µm
_18063_,7.68µm
_18069_,7.68µm
net150,7.68µm
net176,7.68µm
net229,7.68µm
net388,7.68µm
net405,7.68µm
net459,7.68µm
net467,7.68µm
net564,7.68µm
net618,7.68µm
net819,7.68µm
net908,7.68µm
net988,7.68µm
net1073,7.68µm
net1195,7.68µm
net1269,7.68µm
net1327,7.68µm
net1524,7.68µm
net1530,7.68µm
net1694,7.68µm
net1738,7.68µm
net1750,7.68µm
net1859,7.68µm
net1896,7.68µm
net2229,7.68µm
net2329,7.68µm
net2534,7.68µm
net2577,7.68µm
net2589,7.68µm
net2682,7.68µm
net4180,7.68µm
net4187,7.68µm
net4222,7.68µm
net4291,7.68µm
net4314,7.68µm
net4449,7.68µm
net4514,7.68µm
net4611,7.68µm
net4612,7.68µm
net4648,7.68µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_bt0_i\[0\]\[5\],7.68µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_bt0_r\[0\]\[7\],7.68µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage3.next_data1_r\[5\],7.68µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.i_data_1r\[0\],7.68µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.o_data_0i\[6\],7.68µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[1\]\[8\],7.68µm
u_fft_core.u_twiddle_interface.mult2_im\[0\],7.68µm
_09599_,7.675µm
_15342_,7.67µm
_17450_,7.67µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[1\]\[12\],7.65µm
_05321_,7.645µm
_17677_,7.635µm
_00064_,7.63µm
_00096_,7.63µm
_00289_,7.63µm
_00395_,7.63µm
_00997_,7.63µm
_01037_,7.63µm
_01078_,7.63µm
_01200_,7.63µm
_01753_,7.63µm
_02325_,7.63µm
_04265_,7.63µm
_04791_,7.63µm
_06596_,7.63µm
_06979_,7.63µm
_07041_,7.63µm
_07089_,7.63µm
_07239_,7.63µm
_07492_,7.63µm
_08438_,7.63µm
_09187_,7.63µm
_09820_,7.63µm
_10272_,7.63µm
_10750_,7.63µm
_11528_,7.63µm
_11674_,7.63µm
_11701_,7.63µm
_11924_,7.63µm
_12137_,7.63µm
_12400_,7.63µm
_12924_,7.63µm
_13232_,7.63µm
_13714_,7.63µm
_13796_,7.63µm
_13912_,7.63µm
_14393_,7.63µm
_14713_,7.63µm
_14945_,7.63µm
_14963_,7.63µm
_15061_,7.63µm
_15311_,7.63µm
_15397_,7.63µm
_15422_,7.63µm
_15702_,7.63µm
_15796_,7.63µm
_16195_,7.63µm
_16785_,7.63µm
_16802_,7.63µm
_17354_,7.63µm
_18084_,7.63µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.w_data_1r\[4\],7.63µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.o_data_0i\[5\],7.63µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.o_data_0r\[6\],7.63µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.o_data_0r\[9\],7.63µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[0\]\[2\],7.63µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_bt0_i\[0\]\[6\],7.63µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data1_i\[3\],7.63µm
net1,7.63µm
_00091_,7.62µm
_00701_,7.62µm
_01126_,7.62µm
_01323_,7.62µm
_01531_,7.62µm
_02047_,7.62µm
_02073_,7.62µm
_02100_,7.62µm
_02593_,7.62µm
_03502_,7.62µm
_04029_,7.62µm
_04071_,7.62µm
_04719_,7.62µm
_05502_,7.62µm
_05663_,7.62µm
_06667_,7.62µm
_07006_,7.62µm
_07933_,7.62µm
_08033_,7.62µm
_08406_,7.62µm
_09101_,7.62µm
_09468_,7.62µm
_09765_,7.62µm
_10073_,7.62µm
_10269_,7.62µm
_10972_,7.62µm
_11020_,7.62µm
_11243_,7.62µm
_11275_,7.62µm
_11810_,7.62µm
_11994_,7.62µm
_12096_,7.62µm
_13533_,7.62µm
_15390_,7.62µm
_15680_,7.62µm
_16207_,7.62µm
_17179_,7.62µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.i_data_1i\[9\],7.62µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.valid_nstate,7.62µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.r_idata_r\[0\]\[3\],7.62µm
_17597_,7.61µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.valid_count\[0\],7.61µm
_05344_,7.605µm
net614,7.605µm
_10719_,7.59µm
_08657_,7.585µm
_14857_,7.585µm
_03076_,7.58µm
_03484_,7.58µm
_03602_,7.58µm
_05062_,7.58µm
_05468_,7.58µm
_07371_,7.58µm
_08851_,7.58µm
_08914_,7.58µm
_10403_,7.58µm
_13265_,7.58µm
_13329_,7.58µm
_15233_,7.58µm
_17714_,7.58µm
u_fft_core.u_shift_r4.data_im_q\[107\],7.58µm
u_fft_core.u_shift_r4.data_im_q\[29\],7.58µm
u_fft_core.u_shift_r4.data_re_q\[159\],7.58µm
_04433_,7.575µm
_00594_,7.57µm
_01496_,7.57µm
_01826_,7.57µm
_02101_,7.57µm
_02118_,7.57µm
_03373_,7.57µm
_03548_,7.57µm
_04635_,7.57µm
_06878_,7.57µm
_07654_,7.57µm
_08069_,7.57µm
_08304_,7.57µm
_11516_,7.57µm
_11803_,7.57µm
_13237_,7.57µm
_15149_,7.57µm
_18003_,7.57µm
_18151_,7.57µm
net146,7.57µm
net392,7.57µm
net810,7.57µm
net858,7.57µm
net876,7.57µm
net1297,7.57µm
net1417,7.57µm
net1529,7.57µm
net1532,7.57µm
net1576,7.57µm
net1636,7.57µm
net1653,7.57µm
net1871,7.57µm
net1950,7.57µm
net2213,7.57µm
net2354,7.57µm
net2376,7.57µm
net2560,7.57µm
net2590,7.57µm
net4205,7.57µm
net4259,7.57µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.r_idata_i\[0\]\[2\],7.57µm
u_fft_core.u_twiddle_interface.data1_re_q\[1\],7.57µm
_00989_,7.56µm
_02511_,7.56µm
_02534_,7.56µm
_04643_,7.56µm
_05116_,7.56µm
_05189_,7.56µm
_05408_,7.56µm
_06943_,7.56µm
_07997_,7.56µm
_08106_,7.56µm
_08336_,7.56µm
_08626_,7.56µm
_08971_,7.56µm
_09024_,7.56µm
_09035_,7.56µm
_09226_,7.56µm
_09516_,7.56µm
_09519_,7.56µm
_09695_,7.56µm
_11541_,7.56µm
_12125_,7.56µm
_12160_,7.56µm
_12182_,7.56µm
_12623_,7.56µm
_13124_,7.56µm
_13487_,7.56µm
_14896_,7.56µm
_16800_,7.56µm
_17584_,7.56µm
_17746_,7.56µm
net143,7.56µm
net274,7.56µm
net583,7.56µm
net680,7.56µm
net1193,7.56µm
net1318,7.56µm
net1432,7.56µm
net1538,7.56µm
net1594,7.56µm
net1658,7.56µm
net1711,7.56µm
net1716,7.56µm
net1763,7.56µm
net1812,7.56µm
net1886,7.56µm
net1915,7.56µm
net1953,7.56µm
net2506,7.56µm
net2509,7.56µm
net2587,7.56µm
net2624,7.56µm
net4212,7.56µm
net4332,7.56µm
net4374,7.56µm
u_fft_core.shift_r2_ff3_data0_re\[5\],7.56µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.o_data_0r\[0\],7.56µm
_02354_,7.555µm
_02396_,7.555µm
_02979_,7.555µm
_04279_,7.555µm
_04982_,7.555µm
_05378_,7.555µm
_05955_,7.555µm
_06332_,7.555µm
_06976_,7.555µm
_08218_,7.555µm
_08223_,7.555µm
_09934_,7.555µm
_10623_,7.555µm
_12411_,7.555µm
_12658_,7.555µm
_13362_,7.555µm
_15381_,7.555µm
_16575_,7.555µm
_18026_,7.555µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_bt0_r\[0\]\[6\],7.555µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[7\],7.555µm
net2405,7.55µm
_09631_,7.545µm
_03672_,7.54µm
_05726_,7.54µm
_09148_,7.54µm
_10398_,7.54µm
_13313_,7.54µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[1\]\[3\],7.54µm
_05026_,7.53µm
_07517_,7.53µm
_11194_,7.525µm
_02036_,7.52µm
_05118_,7.52µm
_07011_,7.52µm
_07983_,7.52µm
_08549_,7.52µm
_08641_,7.52µm
_08939_,7.52µm
_09456_,7.52µm
_13359_,7.52µm
_15053_,7.52µm
_17641_,7.52µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[3\],7.52µm
_00532_,7.51µm
_00887_,7.51µm
_01152_,7.51µm
_01262_,7.51µm
_01464_,7.51µm
_01473_,7.51µm
_01541_,7.51µm
_01543_,7.51µm
_01725_,7.51µm
_01918_,7.51µm
_02383_,7.51µm
_02889_,7.51µm
_04704_,7.51µm
_13062_,7.51µm
_16502_,7.51µm
_16965_,7.51µm
_17531_,7.51µm
_17797_,7.51µm
_00588_,7.5µm
_03746_,7.5µm
_05170_,7.5µm
_05199_,7.5µm
_05814_,7.5µm
_06815_,7.5µm
_07372_,7.5µm
_07410_,7.5µm
_07566_,7.5µm
_07709_,7.5µm
_08721_,7.5µm
_09235_,7.5µm
_09412_,7.5µm
_10836_,7.5µm
_11251_,7.5µm
_12559_,7.5µm
_12858_,7.5µm
u_fft_core.u_shift_r2_fft1.data_im_q\[15\],7.5µm
u_fft_core.u_shift_r2_fft2.data_re_q\[8\],7.5µm
_02267_,7.495µm
_04070_,7.495µm
_10268_,7.495µm
_11283_,7.495µm
_12589_,7.495µm
_16019_,7.495µm
_17615_,7.495µm
u_fft_core.u_buffer_parallel2serial.mem_re\[28\]\[6\],7.495µm
_13318_,7.475µm
_16835_,7.475µm
_10994_,7.47µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[14\],7.47µm
_11790_,7.465µm
_03329_,7.46µm
_04074_,7.46µm
_04123_,7.46µm
_04744_,7.46µm
_04910_,7.46µm
_05100_,7.46µm
_07193_,7.46µm
_07407_,7.46µm
_08229_,7.46µm
_08296_,7.46µm
_08753_,7.46µm
_09261_,7.46µm
_09507_,7.46µm
_10276_,7.46µm
_10360_,7.46µm
_10687_,7.46µm
_11045_,7.46µm
_11607_,7.46µm
_11718_,7.46µm
_13221_,7.46µm
_13283_,7.46µm
_13797_,7.46µm
_13947_,7.46µm
_13974_,7.46µm
_15031_,7.46µm
_15044_,7.46µm
_15457_,7.46µm
_15465_,7.46µm
_17220_,7.46µm
_17501_,7.46µm
_04304_,7.455µm
_12613_,7.455µm
_00722_,7.45µm
_00794_,7.45µm
_02829_,7.45µm
_03145_,7.45µm
_03464_,7.45µm
_03510_,7.45µm
_04150_,7.45µm
_04325_,7.45µm
_04410_,7.45µm
_04849_,7.45µm
_04999_,7.45µm
_05727_,7.45µm
_05883_,7.45µm
_06904_,7.45µm
_08226_,7.45µm
_08244_,7.45µm
_08698_,7.45µm
_09065_,7.45µm
_09170_,7.45µm
_09881_,7.45µm
_09951_,7.45µm
_11037_,7.45µm
_11123_,7.45µm
_12475_,7.45µm
_13195_,7.45µm
_13414_,7.45µm
_14147_,7.45µm
_14195_,7.45µm
_14198_,7.45µm
_14274_,7.45µm
_14876_,7.45µm
_16720_,7.45µm
_17130_,7.45µm
_17583_,7.45µm
net185,7.45µm
net291,7.45µm
net344,7.45µm
net487,7.45µm
net628,7.45µm
net646,7.45µm
net823,7.45µm
net937,7.45µm
net1049,7.45µm
net1094,7.45µm
net1351,7.45µm
net1477,7.45µm
net1641,7.45µm
net1695,7.45µm
net1799,7.45µm
net1826,7.45µm
net2124,7.45µm
