net,length_um
u_fft_core.u_twiddle_interface.mult3_re\[7\],152.9µm
_15211_,152.8µm
_15268_,152.755µm
net2880,152.51µm
_14809_,152.22µm
u_fft_core.u_twiddle_interface.data3_re_q\[1\],152.1µm
net4105,151.87µm
u_fft_core.u_twiddle_interface.mult3_re\[4\],151.85µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_r\[0\]\[2\],151.81µm
net2946,151.56µm
_14858_,151.52µm
net3333,151.41µm
_02545_,151.39µm
_14270_,151.1µm
net2968,150.865µm
clknet_7_84__leaf_i_clk,150.84µm
net2939,150.82µm
clknet_7_73__leaf_i_clk,150.765µm
net3826,150.745µm
net3484,150.51µm
u_fft_core.twiddle_data3_im\[3\],150.48µm
net3677,150.48µm
net3008,150.315µm
net3894,150.235µm
u_fft_core.mdc_ff3_data1_im\[1\],150.13µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data0_r\[3\],150.04µm
u_fft_core.mdc_ff2_data0_re\[3\],149.9µm
_05056_,149.49µm
_03520_,149.355µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_r\[6\],149.35µm
u_fft_core.mdc_ff2_data1_im\[0\],149.3µm
_14272_,148.92µm
_13736_,148.86µm
net3765,148.665µm
net2796,148.615µm
_14844_,148.38µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data0_i\[7\],148.2µm
clknet_7_24__leaf_i_clk,148.13µm
net3697,148.105µm
u_fft_core.u_fft4.s2_x1_im\[0\],147.9µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[14\],147.85µm
_15085_,147.565µm
_05126_,147.475µm
net2827,147.465µm
net3347,147.455µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[12\],147.105µm
clknet_7_111__leaf_i_clk,147.05µm
clknet_7_26__leaf_i_clk,147.035µm
net3350,146.91µm
_17540_,146.815µm
net3589,146.765µm
_03508_,146.74µm
net3785,146.325µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data0_r\[4\],146.05µm
clknet_7_80__leaf_i_clk,145.81µm
net2843,145.52µm
net3866,145.46µm
net3795,145.42µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_r\[7\],145.38µm
net3367,145.31µm
_05723_,145.255µm
net2971,145.135µm
u_fft_core.twiddle_data3_im\[5\],144.97µm
u_fft_core.u_twiddle_interface.mult3_re\[1\],144.945µm
u_fft_core.mdc_ff3_data1_im\[4\],144.875µm
_15002_,144.81µm
u_fft_core.mdc_ff2_data1_im\[5\],144.79µm
u_fft_core.shift_r4_data3_im\[6\],144.655µm
net3781,144.63µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[0\]\[1\],144.6µm
