Instance,Terminal,Layer,X location,Y location,Voltage
_43178__2288,VDD,Metal1,549.9470,170.2160,1.198044
_43179__2287,VDD,Metal1,556.1870,185.3360,1.198009
_43180__2286,VDD,Metal1,548.0270,185.3360,1.198009
_43181__2285,VDD,Metal1,368.9870,313.6230,1.197725
_43182__2284,VDD,Metal1,368.5070,313.8560,1.197725
_43183__2283,VDD,Metal1,381.2520,306.2960,1.197739
_43184__2282,VDD,Metal1,389.4120,336.3030,1.197833
_43185__2281,VDD,Metal1,394.4270,336.5360,1.197834
_43186__2280,VDD,Metal1,391.0670,328.7430,1.197779
_43187__2279,VDD,Metal1,331.0670,774.7830,1.198215
_43188__2278,VDD,Metal1,319.5470,790.1360,1.198270
_43189__2277,VDD,Metal1,323.1720,767.2230,1.198215
_43190__2276,VDD,Metal1,319.5470,782.5760,1.198195
_43191__2275,VDD,Metal1,310.4270,774.7830,1.198230
_43192__2274,VDD,Metal1,306.8520,789.9030,1.198294
_43260__2273,VDD,Metal1,749.6270,653.8230,1.197980
_43261__2272,VDD,Metal1,775.0670,676.7360,1.198029
_43262__2271,VDD,Metal1,818.2670,676.7360,1.198025
_43263__2270,VDD,Metal1,725.1470,729.6560,1.198101
_43264__2269,VDD,Metal1,745.3070,684.0630,1.198008
_43265__2268,VDD,Metal1,697.0920,608.6960,1.197884
_43266__2267,VDD,Metal1,816.1320,699.4160,1.198048
_43267__2266,VDD,Metal1,777.4670,654.0560,1.197984
_43268__2265,VDD,Metal1,708.8270,676.5030,1.198025
_43269__2264,VDD,Metal1,770.5320,736.9830,1.198169
_43270__2263,VDD,Metal1,836.5070,714.3030,1.198123
_43271__2262,VDD,Metal1,695.8670,752.3360,1.198238
_43272__2261,VDD,Metal1,718.4270,759.6630,1.198241
_43273__2260,VDD,Metal1,694.4270,631.3760,1.197922
_43274__2259,VDD,Metal1,790.4270,737.2160,1.198195
_43275__2258,VDD,Metal1,736.4520,669.1760,1.198003
_43276__2257,VDD,Metal1,709.3070,434.5830,1.197797
_43277__2256,VDD,Metal1,777.9470,411.9030,1.197758
_43278__2255,VDD,Metal1,849.7320,510.4160,1.197768
_43279__2254,VDD,Metal1,680.2920,487.7360,1.197814
_43280__2253,VDD,Metal1,743.8670,563.1030,1.197822
_43281__2252,VDD,Metal1,634.2120,510.4160,1.197777
_43282__2251,VDD,Metal1,758.2670,525.5360,1.197817
_43283__2250,VDD,Metal1,710.2670,495.2960,1.197792
_43284__2249,VDD,Metal1,706.9070,676.5030,1.198025
_43285__2248,VDD,Metal1,753.2520,722.0960,1.198095
_43286__2247,VDD,Metal1,821.1470,699.4160,1.198048
_43287__2246,VDD,Metal1,688.1870,722.0960,1.198092
_43288__2245,VDD,Metal1,714.5870,744.7760,1.198194
_43289__2244,VDD,Metal1,712.1870,631.3760,1.197924
_43290__2243,VDD,Metal1,792.6120,737.2160,1.198195
_43291__2242,VDD,Metal1,723.7070,676.7360,1.198025
_43292__2241,VDD,Metal1,710.2670,669.1760,1.198004
_43293__2240,VDD,Metal1,759.7070,736.9830,1.198165
_43294__2239,VDD,Metal1,825.9470,714.5360,1.198123
_43295__2238,VDD,Metal1,677.6270,736.9830,1.198145
_43296__2237,VDD,Metal1,713.6270,767.2230,1.198257
_43297__2236,VDD,Metal1,682.9070,638.7030,1.197955
_43298__2235,VDD,Metal1,779.8670,744.5430,1.198200
_43299__2234,VDD,Metal1,716.5070,684.2960,1.198007
_43300__2233,VDD,Metal1,718.9070,676.5030,1.198025
_43301__2232,VDD,Metal1,769.3070,722.0960,1.198095
_43302__2231,VDD,Metal1,841.7870,706.7430,1.198078
_43303__2230,VDD,Metal1,686.0520,729.6560,1.198098
_43304__2229,VDD,Metal1,716.5070,744.7760,1.198194
_43305__2228,VDD,Metal1,696.6120,631.3760,1.197924
_43306__2227,VDD,Metal1,780.1320,729.6560,1.198101
_43307__2226,VDD,Metal1,734.7470,684.2960,1.198007
_43308__2225,VDD,Metal1,684.6120,449.7030,1.197761
_43309__2224,VDD,Metal1,749.6270,427.0230,1.197776
_43310__2223,VDD,Metal1,855.4920,517.9760,1.197775
_43311__2222,VDD,Metal1,655.5470,479.9430,1.197780
_43312__2221,VDD,Metal1,740.5070,540.6560,1.197783
_43313__2220,VDD,Metal1,654.5870,502.8560,1.197802
_43314__2219,VDD,Metal1,782.7470,525.3030,1.197818
_43315__2218,VDD,Metal1,689.6270,472.6160,1.197768
_43316__2217,VDD,Metal1,683.3870,449.7030,1.197761
_43317__2216,VDD,Metal1,752.0270,412.1360,1.197758
_43318__2215,VDD,Metal1,831.7070,517.9760,1.197775
_43319__2214,VDD,Metal1,673.7870,480.1760,1.197780
_43320__2213,VDD,Metal1,734.0520,533.0960,1.197795
_43321__2212,VDD,Metal1,660.3470,525.5360,1.197816
_43322__2211,VDD,Metal1,781.3070,533.0960,1.197790
_43323__2210,VDD,Metal1,691.0670,457.2630,1.197752
_43324__2209,VDD,Metal1,687.2270,449.7030,1.197762
_43325__2208,VDD,Metal1,776.0270,412.1360,1.197758
_43326__2207,VDD,Metal1,845.4120,525.5360,1.197765
_43327__2206,VDD,Metal1,687.2270,472.6160,1.197768
_43328__2205,VDD,Metal1,741.7320,533.0960,1.197793
_43329__2204,VDD,Metal1,652.6670,502.8560,1.197802
_43330__2203,VDD,Metal1,790.9070,525.3030,1.197818
_43331__2202,VDD,Metal1,702.1070,472.3830,1.197768
_43332__2201,VDD,Metal1,698.5320,457.2630,1.197755
_43333__2200,VDD,Metal1,752.9870,404.5760,1.197716
_43334__2199,VDD,Metal1,834.1070,510.1830,1.197769
_43335__2198,VDD,Metal1,664.6670,495.0630,1.197782
_43336__2197,VDD,Metal1,728.9870,555.7760,1.197810
_43337__2196,VDD,Metal1,622.2120,517.7430,1.197792
_43338__2195,VDD,Metal1,737.8920,517.9760,1.197779
_43339__2194,VDD,Metal1,695.8670,480.1760,1.197780
_43340__2193,VDD,Metal1,712.6670,638.7030,1.197960
_43341__2192,VDD,Metal1,766.6920,699.4160,1.198050
_43342__2191,VDD,Metal1,820.4520,691.6230,1.197988
_43343__2190,VDD,Metal1,680.2920,714.5360,1.198114
_43344__2189,VDD,Metal1,735.4920,729.4230,1.198101
_43345__2188,VDD,Metal1,690.1070,646.2630,1.197968
_43346__2187,VDD,Metal1,801.9470,737.2160,1.198195
_43347__2186,VDD,Metal1,733.3070,706.9760,1.198065
_43348__2185,VDD,Metal1,715.5470,646.4960,1.197971
_43349__2184,VDD,Metal1,782.2670,699.1830,1.198050
_43350__2183,VDD,Metal1,844.6670,691.8560,1.197987
_43351__2182,VDD,Metal1,702.1070,699.1830,1.198049
_43352__2181,VDD,Metal1,732.3470,721.8630,1.198093
_43353__2180,VDD,Metal1,701.1470,638.9360,1.197955
_43354__2179,VDD,Metal1,819.4920,729.4230,1.198100
_43355__2178,VDD,Metal1,731.6520,691.6230,1.198002
_43356__2177,VDD,Metal1,722.2670,646.4960,1.197971
_43357__2176,VDD,Metal1,768.6120,699.4160,1.198050
_43358__2175,VDD,Metal1,841.3070,691.8560,1.197987
_43359__2174,VDD,Metal1,693.9470,699.1830,1.198049
_43360__2173,VDD,Metal1,730.4270,721.8630,1.198092
_43361__2172,VDD,Metal1,694.9070,654.0560,1.197979
_43362__2171,VDD,Metal1,812.5070,736.9830,1.198195
_43363__2170,VDD,Metal1,746.0520,706.7430,1.198066
_43364__2169,VDD,Metal1,717.7320,442.1430,1.197768
_43365__2168,VDD,Metal1,751.0670,472.3830,1.197768
_43366__2167,VDD,Metal1,836.9870,479.9430,1.197733
_43367__2166,VDD,Metal1,661.7870,442.3760,1.197785
_43368__2165,VDD,Metal1,760.1870,547.9830,1.197850
_43369__2164,VDD,Metal1,626.0520,502.6230,1.197801
_43370__2163,VDD,Metal1,741.4670,510.4160,1.197776
_43371__2162,VDD,Metal1,720.1320,495.0630,1.197792
_43372__2161,VDD,Metal1,723.7070,631.1430,1.197924
_43373__2160,VDD,Metal1,793.3070,699.4160,1.198049
_43374__2159,VDD,Metal1,823.8120,699.1830,1.198048
_43375__2158,VDD,Metal1,687.7070,706.7430,1.198053
_43376__2157,VDD,Metal1,749.1470,722.0960,1.198095
_43377__2156,VDD,Metal1,704.0270,661.3830,1.197979
_43378__2155,VDD,Metal1,821.4120,729.4230,1.198100
_43379__2154,VDD,Metal1,724.1870,699.4160,1.198055
_43380__2153,VDD,Metal1,740.0270,434.5830,1.197797
_43381__2152,VDD,Metal1,749.4120,487.5030,1.197816
_43382__2151,VDD,Metal1,849.9470,472.6160,1.197720
_43383__2150,VDD,Metal1,666.3720,449.9360,1.197759
_43384__2149,VDD,Metal1,763.0670,563.1030,1.197819
_43385__2148,VDD,Metal1,624.1320,502.6230,1.197801
_43386__2147,VDD,Metal1,743.1720,502.6230,1.197799
_43387__2146,VDD,Metal1,742.6920,487.5030,1.197817
_43803__2145,VDD,Metal1,808.9320,472.3830,1.197726
_43799__2144,VDD,Metal1,767.8670,442.3760,1.197761
_44179__2143,VDD,Metal1,608.7720,472.6160,1.197765
_43800__2142,VDD,Metal1,804.3470,502.8560,1.197784
_44052__2141,VDD,Metal1,525.4670,502.8560,1.197785
_43801__2140,VDD,Metal1,808.1870,480.1760,1.197763
_44178__2139,VDD,Metal1,809.8920,593.3430,1.197869
_43802__2138,VDD,Metal1,795.7070,495.0630,1.197769
_43396__2137,VDD,Metal1,728.5070,442.3760,1.197768
_43397__2136,VDD,Metal1,749.8920,472.6160,1.197768
_43398__2135,VDD,Metal1,845.4120,480.1760,1.197732
_43399__2134,VDD,Metal1,656.0270,457.2630,1.197752
_43400__2133,VDD,Metal1,775.5470,555.7760,1.197808
_43401__2132,VDD,Metal1,644.5070,495.0630,1.197782
_43402__2131,VDD,Metal1,751.8120,502.8560,1.197799
_43403__2130,VDD,Metal1,723.0120,487.7360,1.197817
_43404__2129,VDD,Metal1,735.2270,669.1760,1.198003
_43405__2128,VDD,Metal1,798.3720,676.5030,1.198027
_43406__2127,VDD,Metal1,840.3470,669.1760,1.198005
_43407__2126,VDD,Metal1,712.6670,706.9760,1.198065
_43408__2125,VDD,Metal1,732.3470,729.6560,1.198101
_43409__2124,VDD,Metal1,676.6670,616.0230,1.197924
_43410__2123,VDD,Metal1,784.9320,721.8630,1.198118
_43411__2122,VDD,Metal1,760.1870,669.1760,1.198004
_43412__2121,VDD,Metal1,695.1720,449.7030,1.197788
_43413__2120,VDD,Metal1,757.3070,411.9030,1.197758
_43414__2119,VDD,Metal1,841.7870,540.4230,1.197784
_43415__2118,VDD,Metal1,667.8120,495.0630,1.197783
_43416__2117,VDD,Metal1,740.9870,547.9830,1.197850
